llm_model,embedding_model,normalization_type,k_val,is_pseudo,initial_k,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@100,pseudo_recall@1,pseudo_recall@5,pseudo_recall@10,pseudo_recall@25,pseudo_recall@100
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,10,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,10,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,100,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,100,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9695121951219512,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,10,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,10,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,100,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,100,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,10,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,10,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,100,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,100,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8536585365853658,0.9146341463414634,0.9573170731707317,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,10,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,10,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,100,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,100,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.4268292682926829,0.7134146341463414,0.7926829268292683,0.8719512195121951,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.0975609756097561,0.17682926829268292,0.2621951219512195,0.5182926829268293
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,1,"[True, False]",100,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.0975609756097561,0.17682926829268292,0.2621951219512195,0.5182926829268293
