llm_model,embedding_model,normalization_type,is_pseudo,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,pseudo_recall@1,pseudo_recall@5,pseudo_recall@10,pseudo_recall@25,pseudo_recall@50,pseudo_recall@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,True,0.0,0.0,0.0,0.0,0.0,0.0,0.9634146341463414,0.9939024390243902,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,True,0.0,0.0,0.0,0.0,0.0,0.0,0.926829268292683,0.9939024390243902,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,False,0.9817073170731707,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,True,0.0,0.0,0.0,0.0,0.0,0.0,0.6402439024390244,0.8719512195121951,0.9024390243902439,0.926829268292683,0.9695121951219512,0.9878048780487805
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,False,0.75,0.9024390243902439,0.9512195121951219,0.9695121951219512,0.9817073170731707,0.9939024390243902,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,True,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487805,0.6829268292682927,0.774390243902439,0.9024390243902439,0.9695121951219512,0.9878048780487805
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,False,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.823170731707317,0.8963414634146342,0.9634146341463414,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,True,0.0,0.0,0.0,0.0,0.0,0.0,0.06097560975609756,0.1402439024390244,0.18902439024390244,0.2926829268292683,0.3780487804878049,0.5670731707317073
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,False,0.04878048780487805,0.10975609756097561,0.12195121951219512,0.21341463414634146,0.3170731707317073,0.39634146341463417,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,True,0.0,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.9939024390243902,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,True,0.0,0.0,0.0,0.0,0.0,0.0,0.9390243902439024,0.975609756097561,0.9878048780487805,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,False,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,True,0.0,0.0,0.0,0.0,0.0,0.0,0.6402439024390244,0.8780487804878049,0.926829268292683,0.9573170731707317,0.9817073170731707,0.9878048780487805
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,False,0.823170731707317,0.9573170731707317,0.975609756097561,0.9878048780487805,0.9939024390243902,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,True,0.0,0.0,0.0,0.0,0.0,0.0,0.35365853658536583,0.6036585365853658,0.7195121951219512,0.8414634146341463,0.9329268292682927,0.9878048780487805
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,False,0.31097560975609756,0.5548780487804879,0.6219512195121951,0.7621951219512195,0.8841463414634146,0.9512195121951219,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,True,0.0,0.0,0.0,0.0,0.0,0.0,0.054878048780487805,0.11585365853658537,0.1951219512195122,0.3048780487804878,0.4451219512195122,0.5487804878048781
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,False,0.06097560975609756,0.1402439024390244,0.17682926829268292,0.25609756097560976,0.34146341463414637,0.45121951219512196,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,sentence-transformers/all-mpnet-base-v2,none,True,0.0,0.0,0.0,0.0,0.0,0.0,0.975609756097561,1.0,1.0,1.0,1.0,1.0
