query_idx,task_id,base_rank,docstring_rank,function_rank,docstring_change,function_change
0,HumanEval/0,1,1,2,0,-1
1,HumanEval/1,1,2,5,-1,-4
2,HumanEval/2,1,1,1,0,0
3,HumanEval/3,1,1,1,0,0
4,HumanEval/4,1,1,2,0,-1
5,HumanEval/5,1,1,2,0,-1
6,HumanEval/6,1,1,2,0,-1
7,HumanEval/7,1,1,2,0,-1
8,HumanEval/8,1,1,1,0,0
9,HumanEval/9,1,1,2,0,-1
10,HumanEval/10,1,1,2,0,-1
11,HumanEval/11,1,1,1,0,0
12,HumanEval/12,1,1,1,0,0
13,HumanEval/13,1,1,12,0,-11
14,HumanEval/14,1,1,8,0,-7
15,HumanEval/15,1,1,1,0,0
16,HumanEval/16,1,1,68,0,-67
17,HumanEval/17,1,1,1,0,0
18,HumanEval/18,1,1,3,0,-2
19,HumanEval/19,1,1,2,0,-1
20,HumanEval/20,1,1,1,0,0
21,HumanEval/21,1,1,2,0,-1
22,HumanEval/22,1,1,1,0,0
23,HumanEval/23,1,1,2,0,-1
24,HumanEval/24,1,1,101,0,-100
25,HumanEval/25,1,1,97,0,-96
26,HumanEval/26,1,1,50,0,-49
27,HumanEval/27,1,1,3,0,-2
28,HumanEval/28,1,1,3,0,-2
29,HumanEval/29,1,1,3,0,-2
30,HumanEval/30,1,1,6,0,-5
31,HumanEval/31,1,1,45,0,-44
32,HumanEval/32,1,1,1,0,0
33,HumanEval/33,1,1,2,0,-1
34,HumanEval/34,1,1,3,0,-2
35,HumanEval/35,1,1,30,0,-29
36,HumanEval/36,1,1,21,0,-20
37,HumanEval/37,1,1,4,0,-3
38,HumanEval/38,1,1,1,0,0
39,HumanEval/39,1,1,12,0,-11
40,HumanEval/40,1,1,6,0,-5
41,HumanEval/41,1,1,101,0,-100
42,HumanEval/42,1,1,2,0,-1
43,HumanEval/43,1,1,5,0,-4
44,HumanEval/44,1,1,1,0,0
45,HumanEval/45,1,1,34,0,-33
46,HumanEval/46,1,2,14,-1,-13
47,HumanEval/47,1,1,9,0,-8
48,HumanEval/48,1,1,16,0,-15
49,HumanEval/49,1,1,6,0,-5
50,HumanEval/50,1,1,5,0,-4
51,HumanEval/51,1,1,24,0,-23
52,HumanEval/52,1,1,1,0,0
53,HumanEval/53,1,1,2,0,-1
54,HumanEval/54,1,1,57,0,-56
55,HumanEval/55,1,1,4,0,-3
56,HumanEval/56,1,2,5,-1,-4
57,HumanEval/57,1,1,3,0,-2
58,HumanEval/58,1,1,7,0,-6
59,HumanEval/59,1,1,7,0,-6
60,HumanEval/60,1,1,1,0,0
61,HumanEval/61,1,2,5,-1,-4
62,HumanEval/62,1,1,2,0,-1
63,HumanEval/63,1,2,3,-1,-2
64,HumanEval/64,1,2,3,-1,-2
65,HumanEval/65,1,1,1,0,0
66,HumanEval/66,1,1,5,0,-4
67,HumanEval/67,1,1,2,0,-1
68,HumanEval/68,1,1,3,0,-2
69,HumanEval/69,1,1,12,0,-11
70,HumanEval/70,1,1,98,0,-97
71,HumanEval/71,1,1,2,0,-1
72,HumanEval/72,1,1,1,0,0
73,HumanEval/73,1,1,97,0,-96
74,HumanEval/74,1,1,3,0,-2
75,HumanEval/75,1,1,2,0,-1
76,HumanEval/76,1,1,1,0,0
77,HumanEval/77,1,1,101,0,-100
78,HumanEval/78,1,1,3,0,-2
79,HumanEval/79,1,1,4,0,-3
80,HumanEval/80,1,1,60,0,-59
81,HumanEval/81,1,1,1,0,0
82,HumanEval/82,1,1,12,0,-11
83,HumanEval/83,1,1,16,0,-15
84,HumanEval/84,1,1,11,0,-10
85,HumanEval/85,1,2,92,-1,-91
86,HumanEval/86,1,1,79,0,-78
87,HumanEval/87,1,1,1,0,0
88,HumanEval/88,1,2,15,-1,-14
