llm_model,embedding_model,normalization_type,is_pseudo,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,pseudo_recall@1,pseudo_recall@5,pseudo_recall@10,pseudo_recall@25,pseudo_recall@50,pseudo_recall@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,True,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.62,0.654,0.682,0.7,0.716
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,False,0.986,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,True,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.472,0.536,0.608,0.634,0.684
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,False,0.624,0.87,0.914,0.952,0.966,0.982,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,True,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.406,0.486,0.572,0.616,0.652
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,False,0.56,0.802,0.854,0.91,0.94,0.964,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,True,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.258,0.314,0.398,0.478,0.548
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,False,0.222,0.398,0.49,0.584,0.688,0.8,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,True,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.126,0.166,0.242,0.298,0.392
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,False,0.09,0.186,0.236,0.334,0.43,0.542,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,True,0.0,0.0,0.0,0.0,0.0,0.0,0.454,0.598,0.63,0.676,0.698,0.716
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,False,0.978,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,True,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.454,0.522,0.61,0.634,0.674
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,False,0.606,0.87,0.904,0.956,0.982,0.988,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,True,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.412,0.486,0.56,0.606,0.664
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,False,0.552,0.796,0.868,0.922,0.952,0.97,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,True,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.254,0.32,0.42,0.494,0.57
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,False,0.194,0.382,0.512,0.61,0.702,0.796,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,True,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.116,0.172,0.248,0.312,0.398
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,False,0.084,0.182,0.24,0.344,0.43,0.56,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,True,0.0,0.0,0.0,0.0,0.0,0.0,0.766,0.934,0.954,0.966,0.97,0.976
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,False,0.986,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,True,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.758,0.816,0.876,0.908,0.938
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,False,0.624,0.87,0.914,0.952,0.966,0.982,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,True,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.678,0.76,0.814,0.868,0.902
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,False,0.56,0.802,0.854,0.91,0.94,0.964,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,True,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.396,0.468,0.59,0.668,0.774
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,False,0.222,0.398,0.49,0.584,0.688,0.8,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,True,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.184,0.236,0.344,0.432,0.574
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,False,0.09,0.186,0.236,0.334,0.43,0.542,0.0,0.0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,none,True,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.93,0.956,0.966,0.972,0.976
