llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,10,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,1.0,0.975609756097561,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,10,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,1.0,0.975609756097561,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,1.0,0.975609756097561,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,100,0.7,0.75,0.9024390243902439,0.9512195121951219,0.9695121951219512,0.9817073170731707,0.9939024390243902,0.7987804878048781,0.9024390243902439,0.9512195121951219,0.9695121951219512,0.9817073170731707,0.9939024390243902
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,10,100,0.7,0.75,0.9024390243902439,0.9512195121951219,0.9695121951219512,0.9817073170731707,0.9939024390243902,0.7987804878048781,0.9451219512195121,0.9512195121951219,0.9695121951219512,0.9817073170731707,0.9939024390243902
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.75,0.9024390243902439,0.9512195121951219,0.9695121951219512,0.9817073170731707,0.9939024390243902,0.8048780487804879,0.9634146341463414,0.9695121951219512,0.9695121951219512,0.9817073170731707,0.9939024390243902
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.823170731707317,0.8963414634146342,0.9634146341463414,0.4878048780487805,0.6036585365853658,0.7378048780487805,0.823170731707317,0.8963414634146342,0.9634146341463414
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,10,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.823170731707317,0.8963414634146342,0.9634146341463414,0.5365853658536586,0.7195121951219512,0.7378048780487805,0.823170731707317,0.8963414634146342,0.9634146341463414
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.823170731707317,0.8963414634146342,0.9634146341463414,0.5609756097560976,0.7987804878048781,0.8109756097560976,0.823170731707317,0.8963414634146342,0.9634146341463414
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,5,100,0.7,0.04878048780487805,0.10975609756097561,0.12195121951219512,0.21341463414634146,0.3170731707317073,0.39634146341463417,0.09146341463414634,0.10975609756097561,0.12195121951219512,0.21341463414634146,0.3170731707317073,0.39634146341463417
